@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R5,10'

@attribute age numeric
@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute education {primary,secondary,tertiary,unknown}
@attribute balance numeric
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_days numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}
@attribute class {yes,no}

@data
24,services,married,secondary,4500,yes,no,email,may,733,2,-1,0,unknown,no
38,entrepreneur,married,secondary,868,no,no,email,nov,452,2,-1,0,unknown,yes
38,unemployed,married,tertiary,2812,yes,no,email,apr,830,1,-1,0,unknown,no
36,tech,single,secondary,168,yes,no,phone,may,52,1,-1,0,unknown,yes
38,entrepreneur,married,secondary,493,yes,yes,email,jul,1484,24,-1,0,unknown,no
34,tech,married,unknown,41,yes,no,email,may,34,9,-1,0,unknown,yes
39,construction,married,tertiary,1161,yes,no,email,apr,236,1,336,1,failure,yes
26,management,single,tertiary,592,no,no,phone,jan,145,2,164,1,other,yes
30,unemployed,single,tertiary,302,no,no,email,feb,528,3,-1,0,unknown,no
42,unemployed,married,secondary,1289,no,no,email,jul,250,4,415,2,failure,no
42,education,married,secondary,0,no,no,unknown,jun,370,1,-1,0,unknown,yes
37,entrepreneur,divorced,tertiary,66,no,no,email,nov,1164,2,-1,0,unknown,no
35,tech,single,secondary,0,yes,no,email,apr,1174,1,345,4,other,no
34,management,married,tertiary,0,yes,no,email,aug,262,1,99,2,success,no
48,construction,married,secondary,568,yes,no,email,sep,378,2,386,1,success,no
33,construction,married,secondary,58,yes,no,phone,aug,57,2,-1,0,unknown,yes
69,retired,married,unknown,426,no,no,phone,mar,225,1,90,1,success,no
50,services,single,primary,148,yes,no,unknown,may,198,2,-1,0,unknown,yes
54,services,married,primary,8,yes,no,email,may,143,1,-1,0,unknown,yes
51,construction,married,secondary,-379,yes,no,email,aug,261,1,-1,0,unknown,yes
27,services,single,secondary,201,yes,no,unknown,jun,172,2,-1,0,unknown,yes
27,retail,married,secondary,4848,yes,yes,phone,jul,82,3,-1,0,unknown,yes
32,tech,married,secondary,687,yes,no,unknown,may,61,1,-1,0,unknown,yes
30,management,married,tertiary,944,no,no,email,oct,251,2,-1,0,unknown,no
35,retail,married,primary,0,yes,no,email,jul,340,3,-1,0,unknown,yes
59,retired,divorced,secondary,5845,no,no,email,may,1060,2,-1,0,unknown,no
34,construction,single,secondary,16,no,no,email,aug,990,1,-1,0,unknown,no
37,construction,married,unknown,47,no,no,unknown,jun,374,3,-1,0,unknown,yes
32,education,married,secondary,76,yes,no,unknown,may,189,2,-1,0,unknown,yes
54,education,married,secondary,0,no,no,email,jan,161,1,98,2,failure,no
35,self-employed,married,tertiary,560,yes,no,email,apr,58,1,136,1,failure,yes
45,management,married,tertiary,-206,yes,no,email,may,337,2,-1,0,unknown,yes
48,management,married,tertiary,1808,yes,no,email,feb,245,1,-1,0,unknown,no
34,education,divorced,secondary,-251,no,no,email,jul,641,1,-1,0,unknown,no
41,education,divorced,secondary,6046,yes,yes,phone,mar,300,6,182,2,success,no
31,unemployed,single,primary,406,no,no,email,feb,736,1,-1,0,unknown,no
51,tech,married,secondary,397,yes,no,email,aug,293,2,-1,0,unknown,yes
50,management,married,tertiary,3463,no,yes,email,oct,96,1,-1,0,unknown,no
59,services,married,secondary,0,yes,no,email,may,214,3,-1,0,unknown,yes
49,entrepreneur,married,secondary,687,yes,no,email,apr,772,1,-1,0,unknown,no
60,self-employed,married,primary,362,no,yes,email,jul,816,6,-1,0,unknown,no
41,tech,married,secondary,720,no,yes,email,jul,651,1,-1,0,unknown,no
60,management,married,tertiary,3387,no,no,email,aug,636,2,-1,0,unknown,yes
63,retired,married,secondary,474,no,no,email,jan,423,1,-1,0,unknown,no
55,tech,single,primary,1187,yes,no,unknown,jun,193,2,-1,0,unknown,yes
33,tech,married,secondary,139,yes,yes,email,may,732,2,291,5,failure,no
34,retail,married,secondary,0,yes,no,unknown,oct,154,1,-1,0,unknown,no
