@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R2-4,6-8,13-14,17'

@attribute age numeric
@attribute has_defaulted {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}

@data
24,no,email,11,may,733,0,unknown
38,no,email,20,nov,452,0,unknown
38,no,email,30,apr,830,0,unknown
36,no,phone,12,may,52,0,unknown
38,no,email,24,jul,1484,0,unknown
34,no,email,6,may,34,0,unknown
39,no,email,9,apr,236,1,failure
26,no,phone,29,jan,145,1,other
30,no,email,11,feb,528,0,unknown
42,no,email,15,jul,250,2,failure
42,no,unknown,19,jun,370,0,unknown
37,no,email,18,nov,1164,0,unknown
35,no,email,16,apr,1174,4,other
34,no,email,7,aug,262,2,success
48,no,email,2,sep,378,1,success
33,no,phone,29,aug,57,0,unknown
69,no,phone,9,mar,225,1,success
50,no,unknown,7,may,198,0,unknown
54,no,email,14,may,143,0,unknown
51,no,email,5,aug,261,0,unknown
27,no,unknown,4,jun,172,0,unknown
27,no,phone,23,jul,82,0,unknown
32,no,unknown,9,may,61,0,unknown
30,no,email,29,oct,251,0,unknown
35,no,email,14,jul,340,0,unknown
59,no,email,14,may,1060,0,unknown
34,no,email,13,aug,990,0,unknown
37,no,unknown,19,jun,374,0,unknown
32,no,unknown,21,may,189,0,unknown
54,no,email,28,jan,161,2,failure
35,no,email,2,apr,58,1,failure
45,no,email,6,may,337,0,unknown
48,no,email,26,feb,245,0,unknown
34,no,email,18,jul,641,0,unknown
41,no,phone,15,mar,300,2,success
31,no,email,4,feb,736,0,unknown
51,no,email,20,aug,293,0,unknown
50,no,email,28,oct,96,0,unknown
59,no,email,12,may,214,0,unknown
49,no,email,17,apr,772,0,unknown
60,no,email,29,jul,816,0,unknown
41,yes,email,24,jul,651,0,unknown
60,no,email,14,aug,636,0,unknown
63,no,email,25,jan,423,0,unknown
55,no,unknown,2,jun,193,0,unknown
33,no,email,18,may,732,5,failure
34,no,unknown,30,oct,154,0,unknown
40,no,email,6,may,410,0,unknown
50,no,unknown,5,jun,1009,0,unknown
42,no,phone,8,sep,376,0,unknown
49,no,email,8,aug,780,0,unknown
27,no,unknown,28,may,443,0,unknown
29,no,email,5,feb,110,2,success
31,no,email,7,may,623,1,success
51,no,email,18,jul,439,0,unknown
38,no,email,4,feb,419,0,unknown
19,no,email,16,jul,205,0,unknown
19,no,email,10,jul,104,0,unknown
35,no,email,7,sep,310,2,other
48,no,email,5,aug,389,2,success
56,no,unknown,5,may,1467,0,unknown
35,no,email,17,apr,128,0,unknown
41,no,unknown,1,jul,479,0,unknown
38,no,email,18,may,1173,6,success
34,no,email,28,aug,137,0,unknown
30,no,email,13,aug,202,5,failure
21,no,unknown,20,aug,6,0,unknown
66,no,email,9,feb,479,0,unknown
53,no,email,15,apr,99,0,unknown
34,no,unknown,16,may,489,0,unknown
30,no,email,21,aug,239,0,unknown
32,no,email,2,jul,356,0,unknown
26,no,email,18,may,827,0,unknown
34,no,email,12,may,515,5,failure
35,no,email,22,aug,112,0,unknown
46,no,unknown,17,jun,564,0,unknown
35,no,email,13,may,63,0,unknown
48,no,email,2,feb,212,2,other
33,no,email,20,apr,137,2,failure
44,no,unknown,30,may,570,0,unknown
31,no,email,6,aug,165,0,unknown
31,no,email,12,aug,130,0,unknown
42,no,unknown,6,may,121,0,unknown
46,no,phone,21,jul,171,0,unknown
35,no,email,19,nov,256,0,unknown
31,no,email,4,may,352,0,unknown
32,no,unknown,2,jun,777,0,unknown
32,no,email,14,nov,132,0,unknown
32,no,email,21,aug,686,0,unknown
31,no,email,2,feb,258,1,failure
31,no,email,30,apr,297,3,success
51,no,email,17,nov,150,0,unknown
29,no,unknown,4,jul,134,0,unknown
49,yes,email,30,jul,988,0,unknown
34,no,email,18,jul,154,0,unknown
65,no,phone,6,aug,256,0,unknown
45,no,unknown,23,may,1030,0,unknown
50,no,email,20,apr,122,0,unknown
37,no,unknown,21,may,281,0,unknown
86,no,phone,18,mar,165,1,other
49,no,phone,9,feb,1971,0,unknown
35,no,unknown,13,may,326,0,unknown
39,no,unknown,18,jun,1029,0,unknown
36,no,email,26,aug,125,0,unknown
33,no,email,16,apr,670,0,unknown
35,no,email,23,feb,141,3,failure
41,yes,email,20,nov,477,0,unknown
47,no,email,10,aug,1225,0,unknown
49,no,phone,8,jul,77,0,unknown
57,no,unknown,9,jun,257,0,unknown
36,no,email,19,nov,277,0,unknown
34,no,email,17,apr,758,0,unknown
48,no,email,2,apr,397,0,unknown
33,no,email,30,apr,475,0,unknown
54,no,phone,14,aug,159,6,success
30,no,unknown,20,may,350,0,unknown
44,no,email,3,nov,289,0,unknown
31,no,email,9,sep,344,1,failure
51,no,email,8,oct,272,8,other
48,no,email,21,nov,150,0,unknown
29,no,email,21,jul,574,0,unknown
34,no,unknown,20,may,120,0,unknown
46,no,email,7,aug,429,0,unknown
36,no,email,18,aug,882,0,unknown
55,no,email,3,apr,296,3,failure
48,no,email,14,may,72,2,other
26,no,email,16,jul,136,0,unknown
25,no,email,17,feb,485,0,unknown
59,no,unknown,11,jun,1199,0,unknown
32,no,email,6,aug,101,6,other
26,no,email,30,jan,169,0,unknown
31,no,email,16,jul,715,0,unknown
35,no,email,4,may,198,1,other
28,no,email,28,jan,321,0,unknown
36,no,unknown,19,jun,227,0,unknown
36,yes,email,12,aug,587,0,unknown
