@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R1,4-6,14,17'

@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}

@data
services,married,yes,no,email,11,may,733,2,0,unknown
entrepreneur,married,no,no,email,20,nov,452,2,0,unknown
unemployed,married,yes,no,email,30,apr,830,1,0,unknown
tech,single,yes,no,phone,12,may,52,1,0,unknown
entrepreneur,married,yes,yes,email,24,jul,1484,24,0,unknown
tech,married,yes,no,email,6,may,34,9,0,unknown
construction,married,yes,no,email,9,apr,236,1,1,failure
management,single,no,no,phone,29,jan,145,2,1,other
unemployed,single,no,no,email,11,feb,528,3,0,unknown
unemployed,married,no,no,email,15,jul,250,4,2,failure
education,married,no,no,unknown,19,jun,370,1,0,unknown
entrepreneur,divorced,no,no,email,18,nov,1164,2,0,unknown
tech,single,yes,no,email,16,apr,1174,1,4,other
management,married,yes,no,email,7,aug,262,1,2,success
construction,married,yes,no,email,2,sep,378,2,1,success
construction,married,yes,no,phone,29,aug,57,2,0,unknown
retired,married,no,no,phone,9,mar,225,1,1,success
services,single,yes,no,unknown,7,may,198,2,0,unknown
services,married,yes,no,email,14,may,143,1,0,unknown
construction,married,yes,no,email,5,aug,261,1,0,unknown
services,single,yes,no,unknown,4,jun,172,2,0,unknown
retail,married,yes,yes,phone,23,jul,82,3,0,unknown
tech,married,yes,no,unknown,9,may,61,1,0,unknown
management,married,no,no,email,29,oct,251,2,0,unknown
retail,married,yes,no,email,14,jul,340,3,0,unknown
retired,divorced,no,no,email,14,may,1060,2,0,unknown
construction,single,no,no,email,13,aug,990,1,0,unknown
construction,married,no,no,unknown,19,jun,374,3,0,unknown
education,married,yes,no,unknown,21,may,189,2,0,unknown
education,married,no,no,email,28,jan,161,1,2,failure
self-employed,married,yes,no,email,2,apr,58,1,1,failure
management,married,yes,no,email,6,may,337,2,0,unknown
management,married,yes,no,email,26,feb,245,1,0,unknown
education,divorced,no,no,email,18,jul,641,1,0,unknown
education,divorced,yes,yes,phone,15,mar,300,6,2,success
unemployed,single,no,no,email,4,feb,736,1,0,unknown
tech,married,yes,no,email,20,aug,293,2,0,unknown
management,married,no,yes,email,28,oct,96,1,0,unknown
services,married,yes,no,email,12,may,214,3,0,unknown
entrepreneur,married,yes,no,email,17,apr,772,1,0,unknown
self-employed,married,no,yes,email,29,jul,816,6,0,unknown
